Giorno gas,Prezzo medio ponderato,Volumi,,,,
01/05/2012,,,,,,
02/05/2012,,,,,,
03/05/2012,,,,,,
04/05/2012,29,"2,880",,,,
05/05/2012,,,,,,
06/05/2012,,,,,,
07/05/2012,,,,,,
08/05/2012,,,,,,
09/05/2012,28.95,"5,280",,,,
10/05/2012,,,,,,
11/05/2012,,,,,,
12/05/2012,,,,,,
13/05/2012,,,,,,
14/05/2012,,,,,,
15/05/2012,,,,,,
16/05/2012,28.65,"1,200",,,,
17/05/2012,28.65,"1,200",,,,
18/05/2012,28.774,"6,960",,,,
19/05/2012,,,,,,
20/05/2012,28.65,960,,,,
21/05/2012,,,,,,
22/05/2012,,,,,,
23/05/2012,,,,,,
24/05/2012,28.45,"2,400",,,,
25/05/2012,,,,,,
26/05/2012,,,,,,
27/05/2012,,,,,,
28/05/2012,,,,,,
29/05/2012,,,,,,
30/05/2012,,,,,,
31/05/2012,,,,,,
01/06/2012,28.65,"2,400",,,,
02/06/2012,,,,,,
03/06/2012,,,,,,
04/06/2012,,,,,,
05/06/2012,,,,,,
06/06/2012,,,,,,
07/06/2012,,,,,,
08/06/2012,28.25,"4,800",,,,
09/06/2012,27.9,"5,520",,,,
10/06/2012,27.922,"6,480",,,,
11/06/2012,,,,,,
12/06/2012,,,,,,
13/06/2012,28.2,"4,800",,,,
14/06/2012,28.2,"2,400",,,,
15/06/2012,,,,,,
16/06/2012,27.7,960,,,,
17/06/2012,27.7,960,,,,
18/06/2012,,,,,,
19/06/2012,,,,,,
20/06/2012,,,,,,
21/06/2012,,,,,,
22/06/2012,,,,,,
23/06/2012,,,,,,
24/06/2012,,,,,,
25/06/2012,,,,,,
26/06/2012,,,,,,
27/06/2012,27.25,"4,800",,,,
28/06/2012,27.147,"5,160",,,,
29/06/2012,,,,,,
30/06/2012,,,,,,
01/07/2012,,,,,,
02/07/2012,27.500,"2,400",,,,
03/07/2012,,,,,,
04/07/2012,,,,,,
05/07/2012,,,,,,
06/07/2012,27.600,"4,800",,,,
07/07/2012,,,,,,
08/07/2012,,,,,,
09/07/2012,,,,,,
10/07/2012,,,,,,
11/07/2012,,,,,,
12/07/2012,,,,,,
13/07/2012,,,,,,
14/07/2012,,,,,,
15/07/2012,,,,,,
16/07/2012,,,,,,
17/07/2012,,,,,,
18/07/2012,,,,,,
19/07/2012,,,,,,
20/07/2012,,,,,,
21/07/2012,,,,,,
22/07/2012,,,,,,
23/07/2012,,,,,,
24/07/2012,,,,,,
25/07/2012,,,,,,
26/07/2012,,,,,,
27/07/2012,,,,,,
28/07/2012,,,,,,
29/07/2012,,,,,,
30/07/2012,,,,,,
31/07/2012,,,,,,
01/08/2012,,,,,,
02/08/2012,,,,,,
03/08/2012,,,,,,
04/08/2012,,,,,,
05/08/2012,,,,,,
06/08/2012,,,,,,
07/08/2012,,,,,,
08/08/2012,26.550,"6,480",,,,
09/08/2012,26.750,"6,240",,,,
10/08/2012,26.850,"2,400",,,,
11/08/2012,,,,,,
12/08/2012,,,,,,
13/08/2012,,,,,,
14/08/2012,,,,,,
15/08/2012,,,,,,
16/08/2012,,,,,,
17/08/2012,,,,,,
18/08/2012,,,,,,
19/08/2012,,,,,,
20/08/2012,,,,,,
21/08/2012,,,,,,
22/08/2012,,,,,,
23/08/2012,,,,,,
24/08/2012,,,,,,
25/08/2012,,,,,,
26/08/2012,,,,,,
27/08/2012,,,,,,
28/08/2012,,,,,,
29/08/2012,,,,,,
30/08/2012,,,,,,
31/08/2012,,,,,,
01/09/2012,27.500,"1,680",,,,
02/09/2012,,,,,,
03/09/2012,,,,,,
04/09/2012,,,,,,
05/09/2012,,,,,,
06/09/2012,28.100,"4,800",,,,
07/09/2012,,,,,,
08/09/2012,,,,,,
09/09/2012,,,,,,
10/09/2012,,,,,,
11/09/2012,28.100,"4,320",,,,
12/09/2012,28.100,"4,320",,,,
13/09/2012,28.100,"4,320",,,,
14/09/2012,28.100,"4,320",,,,
15/09/2012,,,,,,
16/09/2012,,,,,,
17/09/2012,,,,,,
18/09/2012,,,,,,
19/09/2012,,,,,,
20/09/2012,,,,,,
21/09/2012,,,,,,
22/09/2012,,,,,,
23/09/2012,,,,,,
24/09/2012,,,,,,
25/09/2012,,,,,,
26/09/2012,,,,,,
27/09/2012,,,,,,
28/09/2012,,,,,,
29/09/2012,,,,,,
30/09/2012,,,,,,
